feature,importance
EXT_SOURCE_2,0.012224096
EXT_SOURCE_3,0.012188366
NAME_EDUCATION_TYPE_Higher education,0.01007716
CODE_GENDER_M,0.0072508547
CODE_GENDER_F,0.0057431497
FLAG_OWN_CAR_Y,0.0056561767
NAME_EDUCATION_TYPE_Secondary / secondary special,0.0051895147
FLAG_DOCUMENT_3,0.004415296
NAME_CONTRACT_TYPE_Revolving loans,0.004240297
FLAG_OWN_CAR_N,0.004104456
DAYS_EMPLOYED,0.0038136547
NAME_CONTRACT_TYPE_Cash loans,0.0037747156
NAME_INCOME_TYPE_Working,0.0037160695
AMT_GOODS_PRICE,0.0037122923
NAME_INCOME_TYPE_State servant,0.0036903624
OCCUPATION_TYPE_Core staff,0.0035808675
REGION_RATING_CLIENT_W_CITY,0.003443756
DEF_60_CNT_SOCIAL_CIRCLE,0.0034025123
NAME_FAMILY_STATUS_Married,0.0033776085
OCCUPATION_TYPE_Sales staff,0.0033321714
user_segment_Yes Bank_Tamil Nadu_56+,0.003326075
AMT_CREDIT,0.0031121802
REGION_RATING_CLIENT,0.0030422306
ORGANIZATION_TYPE_Restaurant,0.0029999549
user_segment_SBI_Tamil Nadu_26-35,0.0029677078
FLAG_EMP_PHONE,0.0029256458
DAYS_BIRTH,0.0029146844
user_segment_Yes Bank_Tamil Nadu_26-35,0.0028161905
DEF_30_CNT_SOCIAL_CIRCLE,0.0028150782
REG_CITY_NOT_LIVE_CITY,0.002788035
user_segment_Yes Bank_Andhra Pradesh_18-25,0.0027411964
user_segment_IndusInd_Uttar Pradesh_18-25,0.0027349992
FLAG_DOCUMENT_16,0.002732675
user_segment_Kotak_Tamil Nadu_18-25,0.0027123871
user_segment_Kotak_Delhi_18-25,0.0027105622
OCCUPATION_TYPE_Laborers,0.0026997763
user_segment_Axis_Maharashtra_26-35,0.0026949914
user_segment_IndusInd_Rajasthan_56+,0.0026781517
FLAG_DOCUMENT_13,0.0026563357
AMT_ANNUITY,0.0026542256
NAME_INCOME_TYPE_Pensioner,0.002644476
FLOORSMAX_MEDI,0.0026381311
user_segment_Kotak_Andhra Pradesh_36-45,0.0026355798
user_segment_Kotak_Uttar Pradesh_56+,0.0025846888
NAME_HOUSING_TYPE_House / apartment,0.0025788643
ORGANIZATION_TYPE_Trade: type 2,0.0025781195
AMT_REQ_CREDIT_BUREAU_QRT,0.0025540139
user_segment_SBI_Delhi_56+,0.0025454226
ORGANIZATION_TYPE_Electricity,0.002539096
FLOORSMAX_AVG,0.0025249978
user_segment_IndusInd_Telangana_18-25,0.002510998
ORGANIZATION_TYPE_Self-employed,0.0024825882
user_segment_HDFC_Delhi_46-55,0.0024710782
ORGANIZATION_TYPE_Military,0.002466887
user_segment_HDFC_Maharashtra_56+,0.00244992
user_segment_ICICI_Andhra Pradesh_36-45,0.0024446815
user_segment_Axis_Uttar Pradesh_46-55,0.0024426987
user_segment_Yes Bank_West Bengal_26-35,0.0024394523
FLAG_DOCUMENT_18,0.002439262
user_segment_Yes Bank_Delhi_26-35,0.0024145786
OCCUPATION_TYPE_High skill tech staff,0.0024004737
user_segment_Axis_Tamil Nadu_36-45,0.0023850184
user_segment_IndusInd_Tamil Nadu_36-45,0.0023809697
user_segment_SBI_Uttar Pradesh_18-25,0.0023793376
DAYS_ID_PUBLISH,0.0023701247
user_segment_ICICI_Andhra Pradesh_46-55,0.002367204
user_segment_Axis_West Bengal_18-25,0.0023611998
ORGANIZATION_TYPE_School,0.0023597567
user_segment_Kotak_Karnataka_46-55,0.0023582468
EMERGENCYSTATE_MODE_No,0.0023581816
user_segment_SBI_Uttar Pradesh_26-35,0.0023559204
